date,New South Wales_Northern NSW,New South Wales_Western Sydney,South Australia_Eyre and Far North
2036-07-20,4.752385,4.9582314,4.7927413
2036-07-21,4.827059,4.84924,4.803229
2036-07-22,6.5408106,6.5549035,6.513694
2036-07-23,6.800852,6.8815722,6.7783203
2036-07-24,8.313004,8.149345,8.30589
2036-07-25,4.127036,4.310732,4.149103
2036-07-26,4.269537,4.316584,4.2631207
2036-07-27,4.844697,5.100972,4.858356
2036-07-28,4.5800123,4.646648,4.603135
2036-07-29,4.943499,5.0306582,4.9308743
2036-07-30,5.472852,5.45917,5.4410005
2036-07-31,4.23937,4.304439,4.2304115
2036-08-01,4.931701,5.105657,4.9235106
2036-08-02,4.377036,4.545383,4.3502975
2036-08-03,6.2336054,6.1129413,6.165004
2036-08-04,9.321202,8.9172945,9.256348
2036-08-05,8.962528,8.7875805,8.896571
